設定,變數,係數,穩健SE,t值,p值,顯著性,N
水回收率%｜全樣本｜t-0,dLNREV,0.3207953854001856,0.0761469165995678,4.2128480012808085,2.5217076746609294e-05,***,996
水回收率%｜全樣本｜t-0,D_x_dREV,-1.2680895530405318,0.47094015787064425,-2.6926766211108397,0.00708809813938825,***,996
水回收率%｜全樣本｜t-0,WaterRate_D_dREV,0.0003680755582069516,0.00165022280983616,0.22304597658754668,0.8234997235605305,,996
水回收率%｜全樣本｜t-0,Water_Rate,-8.194021823050748e-05,0.00016620346821832478,-0.49301148230475467,0.6220044741726344,,996
水回收率%｜全樣本｜t-1,dLNREV,0.4077260496796437,0.09025339212926155,4.517570365617899,6.255324387816133e-06,***,863
水回收率%｜全樣本｜t-1,D_x_dREV,-0.6925415257352788,0.4886998887136313,-1.4171100541033574,0.15645075348616042,,863
水回收率%｜全樣本｜t-1,WaterRate_D_dREV_l1,0.0014742079408768902,0.001347702129125217,1.0938677835537645,0.2740129701077526,,863
水回收率%｜全樣本｜t-1,WaterRate_l1,-0.00013011180479710434,0.00017404332272540817,-0.7475828590240402,0.45471180694779756,,863
水回收率%｜全樣本｜t-2,dLNREV,0.42260376989541787,0.1252684339263084,3.3735854807925736,0.0007419600549871858,***,731
水回收率%｜全樣本｜t-2,D_x_dREV,-0.717353678752936,0.4458554046930167,-1.608937945356641,0.10762991124432722,,731
水回收率%｜全樣本｜t-2,WaterRate_D_dREV_l2,0.0013787744134336774,0.0013407896523890334,1.0283301418510817,0.3037945570976607,,731
水回收率%｜全樣本｜t-2,WaterRate_l2,-0.00020010786846443265,0.0001707836938521613,-1.1717035974034837,0.24131607822739398,,731
水回收率%｜高耗水｜t-0,dLNREV,0.3192991907646265,0.10547400902688348,3.027278413995269,0.0024676656029552287,***,707
水回收率%｜高耗水｜t-0,D_x_dREV,-1.4791291000883007,0.4968454080129037,-2.977040898906498,0.0029104518151709677,***,707
水回收率%｜高耗水｜t-0,WaterRate_D_dREV,0.0013792818196279274,0.0018268763238901851,0.7549946329650047,0.4502522025174842,,707
水回收率%｜高耗水｜t-0,Water_Rate,-3.6039742244934174e-05,0.00018310304693708397,-0.19682764895396737,0.8439624135993543,,707
水回收率%｜高耗水｜t-1,dLNREV,0.41475751981439307,0.12470909717903718,3.3258000354132244,0.0008816515449440788,***,619
水回收率%｜高耗水｜t-1,D_x_dREV,-0.9405219732242319,0.5452012540075939,-1.7250913608704426,0.08451100920009123,*,619
水回收率%｜高耗水｜t-1,WaterRate_D_dREV_l1,0.0026860779689776974,0.0021211737283784705,1.26631681933524,0.20539967767389988,,619
水回收率%｜高耗水｜t-1,WaterRate_l1,-0.00012345402576551432,0.00021585768238919977,-0.5719232431251713,0.567373976620657,,619
水回收率%｜高耗水｜t-2,dLNREV,0.4120705608979901,0.15494055300712037,2.6595397583165536,0.007824749419490504,***,527
水回收率%｜高耗水｜t-2,D_x_dREV,-1.1517672651089206,0.44658589067363563,-2.5790498292984148,0.00990724945028865,***,527
水回收率%｜高耗水｜t-2,WaterRate_D_dREV_l2,0.0012952124548879522,0.001318413252884288,0.9824024842396119,0.3259016029525318,,527
水回收率%｜高耗水｜t-2,WaterRate_l2,-0.0002510362156207325,0.0002234696180358069,-1.1233572502035087,0.26128579823800735,,527
水回收率%｜低耗水｜t-0,dLNREV,0.26834699212891383,0.09147777214216447,2.9334666317832827,0.00335199683158753,***,289
水回收率%｜低耗水｜t-0,D_x_dREV,-0.5441856460806711,0.8227393223146754,-0.6614314295197075,0.5083356755934233,,289
水回收率%｜低耗水｜t-0,WaterRate_D_dREV,-0.003102830849336348,0.0026909076561555624,-1.1530796466532378,0.24887769486066713,,289
水回收率%｜低耗水｜t-0,Water_Rate,-0.00030954812292922906,0.00036584257643756414,-0.8461238326700269,0.3974836667426913,,289
水回收率%｜低耗水｜t-1,dLNREV,0.37353395269887535,0.08930719527416559,4.182573997001669,2.8822716132731667e-05,***,244
水回收率%｜低耗水｜t-1,D_x_dREV,-0.8746316015294475,0.8839406407617832,-0.9894687054729001,0.3224338738284025,,244
水回收率%｜低耗水｜t-1,WaterRate_D_dREV_l1,0.0015248860184224424,0.001083598069802712,1.4072432029157034,0.15935528479930994,,244
水回收率%｜低耗水｜t-1,WaterRate_l1,-5.084044613816799e-07,0.00031468609654020145,-0.001615592385463813,0.9987109443398569,,244
水回收率%｜低耗水｜t-2,dLNREV,0.5292960949621561,0.08681929900970456,6.096525784007909,1.0839847228080114e-09,***,204
水回收率%｜低耗水｜t-2,D_x_dREV,-0.28272565678617345,0.8567080676896971,-0.33001400062521385,0.7413893832517763,,204
水回收率%｜低耗水｜t-2,WaterRate_D_dREV_l2,-0.0010522400012278404,0.002936369455385683,-0.3583472778937594,0.7200834414005113,,204
水回收率%｜低耗水｜t-2,WaterRate_l2,-8.491754220299745e-05,0.00030104529456883336,-0.2820756335840394,0.7778855164842555,,204
水揭露｜全樣本｜t-0,dLNREV,0.3447501186759253,0.013282437213671852,25.95533584160803,1.582834076709594e-148,***,16661
